"","root-EOD-Arabidopsis-1-451-3-R","root-EOD-Arabidopsis-2-452-3-R","root-EOD-Arabidopsis-3-453-3-R","root-EOD-Arabidopsis-4-454-3-R","root-EOD-Arabidopsis-5-455-3-R","root-EOD-Arabidopsis-6-456-3-R","root-EOD-Brachy-1-433-3-R","root-EOD-Brachy-2-434-3-R","root-EOD-Brachy-3-436-3-R","root-EOD-Brachy-4-437-3-R","root-EOD-Brachy-5-438-3-R","root-EOD-Brachy-6-439-3-R","root-EOD-Medicago-1-442-3a-R","root-EOD-Medicago-2-442-3b-R","root-EOD-Medicago-3-444-3a-R","root-EOD-Medicago-4-449-3a-R","root-EOD-Medicago-5-449-3b-R","root-EON-Arabidopsis-1-451-4-R","root-EON-Arabidopsis-2-452-4-R","root-EON-Arabidopsis-3-453-4-R","root-EON-Arabidopsis-4-454-4-R","root-EON-Arabidopsis-5-455-4-R","root-EON-Arabidopsis-6-456-4-R","root-EON-Brachy-1-433-4-R","root-EON-Brachy-2-434-4-R","root-EON-Brachy-3-436-4-R","root-EON-Brachy-4-437-4-R","root-EON-Brachy-5-438-4-R","root-EON-Brachy-6-439-4-R","root-EON-Medicago-1-442-4c-R","root-EON-Medicago-2-444-4b-R","root-EON-Medicago-3-444-4c-R","root-EON-Medicago-4-449-4c-R","shoot-EOD-Arabidopsis-1-451-3-S","shoot-EOD-Arabidopsis-2-452-3-S","shoot-EOD-Arabidopsis-3-453-3-S","shoot-EOD-Arabidopsis-4-454-3-S","shoot-EOD-Arabidopsis-5-455-3-S","shoot-EOD-Arabidopsis-6-456-3-S","shoot-EOD-Brachy-1-433-3-S","shoot-EOD-Brachy-2-434-3-S","shoot-EOD-Brachy-3-436-3-S","shoot-EOD-Brachy-4-437-3-S","shoot-EOD-Brachy-5-438-3-S","shoot-EOD-Brachy-6-439-3-S","shoot-EOD-Medicago-1-442-3a-S","shoot-EOD-Medicago-2-442-3b-S","shoot-EOD-Medicago-3-444-3a-S","shoot-EOD-Medicago-4-449-3a-S","shoot-EOD-Medicago-5-449-3b-S","shoot-EON-Arabidopsis-1-451-4-S","shoot-EON-Arabidopsis-2-452-4-S","shoot-EON-Arabidopsis-3-453-4-S","shoot-EON-Arabidopsis-4-454-4-S","shoot-EON-Arabidopsis-5-455-4-S","shoot-EON-Arabidopsis-6-456-4-S","shoot-EON-Brachy-1-433-4-S","shoot-EON-Brachy-2-434-4-S","shoot-EON-Brachy-3-436-4-S","shoot-EON-Brachy-5-438-4-S","shoot-EON-Brachy-6-439-4-S","shoot-EON-Medicago-1-442-4c-S","shoot-EON-Medicago-2-444-4b-S","shoot-EON-Medicago-3-444-4c-S","shoot-EON-Medicago-4-449-4c-S"
"dihexose pk 3 (ex. trehalose)",2157329.16210938,33411877.4121094,6814255.91210938,16939877.4121094,32411965.4121094,11888397.4121094,9546823.41210938,16617018.4121094,15517364.4121094,10079242.4121094,6019442.91210938,17207607.4121094,4165610.41210938,3605771.91210938,6009228.91210938,3679292.16210938,4873614.41210938,4586785.91210938,6219070.41210938,9422853.41210938,13964412.4121094,5219456.91210938,54917787.4121094,9117475.41210938,25570851.4121094,6609232.91210938,27227265.4121094,14616335.4121094,13341681.4121094,9157458.41210938,6865322.41210938,4783259.91210938,4415418.41210938,5528942.41210938,6923071.91210938,11861016.4121094,4859651.91210938,16830525.4121094,5212803.91210938,54984043.4121094,51642343.4121094,70257543.4121094,43603219.4121094,40891479.4121094,45740291.4121094,9148634.41210938,12814606.4121094,12197877.4121094,8057031.41210938,18159349.4121094,5299826.41210938,10588469.4121094,25502131.4121094,23015679.4121094,10800490.4121094,7567238.41210938,81317223.4121094,109229479.412109,119301463.412109,92821471.4121094,80253575.4121094,26322125.4121094,19677461.4121094,23265607.4121094,13309121.4121094
"dopamine",135600.333557129,164237.646057129,215553.364807129,51795.2671508789,149495.708557129,151030.927307129,163682.271057129,188147.849182129,147134.692932129,177310.349182129,82822.0679321289,148567.677307129,918807.771057129,1283895.08355713,1041450.52105713,824476.521057129,864040.708557129,148191.942932129,88731.2319946289,230917.677307129,117392.200744629,109942.896057129,206282.067932129,113888.427307129,108163.294494629,111071.856994629,104404.841369629,104801.864807129,87526.0523071289,786089.396057129,1958538.83355713,258359.427307129,591301.833557129,193479.786682129,444096.489807129,460009.864807129,341977.521057129,555183.771057129,536007.583557129,532129.458557129,688098.146057129,513285.614807129,449133.052307129,253827.911682129,333349.896057129,852866.708557129,821328.521057129,621455.958557129,1125828.08355713,1078405.33355713,382991.646057129,184312.630432129,476000.271057129,382259.583557129,148365.427307129,237614.724182129,498510.521057129,527488.521057129,457438.239807129,474281.146057129,331055.802307129,599099.458557129,1794544.70855713,385176.802307129,547726.646057129
"ectoine",70413.5825195312,867963.457519531,690911.020019531,35700.8012695312,569393.707519531,998652.957519531,0,183119.738769531,237852.551269531,0,0,392231.145019531,70302.4418945312,145628.176269531,227696.707519531,142484.457519531,243939.770019531,77154.7387695312,52583.7700195312,757815.520019531,89150.6450195312,97595.0825195312,485284.770019531,0,157662.801269531,44747.7387695312,155866.145019531,124047.863769531,0,220069.520019531,47933.8168945312,125801.707519531,0,691604.207519531,218702.426269531,402476.082519531,271592.051269531,1175122.08251953,102470.832519531,131948.832519531,76339.1137695312,550627.582519531,67309.9575195312,306026.145019531,49708.7387695312,0,465276.832519531,274081.926269531,4141.70751953125,524820.645019531,2900.16064453125,351751.551269531,852623.895019531,1772425.70751953,597145.895019531,116366.676269531,112275.113769531,168016.301269531,724882.895019531,518796.645019531,371041.395019531,244685.176269531,465268.457519531,290950.738769531,18781.5668945312
"ferulic acid",1463057.89379883,6477229.89379883,1901868.64379883,5717365.39379883,6320147.89379883,3131397.64379883,2048177.89379883,3484657.14379883,3025528.89379883,3523297.64379883,1988320.39379883,2967257.14379883,1693429.01879883,4885690.89379883,2638798.14379883,2421863.89379883,2237729.14379883,4071905.89379883,1588017.51879883,1846061.01879883,4922890.39379883,2473324.64379883,7456866.89379883,2491886.39379883,5139854.89379883,2677642.39379883,4889934.89379883,3150958.89379883,3809987.39379883,3821511.89379883,5212277.39379883,1238160.01879883,2814989.64379883,1715472.39379883,1274710.01879883,2193698.89379883,1345625.26879883,3295213.64379883,1863921.89379883,25747593.8937988,25908853.8937988,26244685.8937988,18209157.8937988,12242331.8937988,22283623.8937988,3268747.89379883,9242714.89379883,8728223.89379883,6531562.39379883,13938943.8937988,1803635.89379883,1806306.26879883,6827412.39379883,3136161.14379883,2976220.64379883,1900004.14379883,18469795.8937988,30943663.8937988,29369863.8937988,24759059.8937988,20850167.8937988,9086123.89379883,39315357.8937988,7374594.39379883,6209621.39379883
"fumaric acid",286058.96875,804642.375,302411.875,322976.5625,142247.34375,1528066.125,181044.28125,162637.984375,180624.890625,165057.28125,97447.6171875,205397.296875,47523.7734375,56961.234375,195078.796875,135871.640625,48356.42578125,68705.21875,196040.984375,114167.5625,282240.5625,198822.453125,131563.90625,178817.109375,217765.875,135377.0625,98063.859375,66352.4609375,174314.515625,125281.9453125,60982.07421875,67003.0859375,81567.484375,29367.16015625,209591.234375,512316.875,33295.6328125,47239.0234375,45485.203125,3707058.5,11604779,6691253,3947405.75,5938050,4859744,41206.16015625,0,30945.958984375,0,33676.79296875,266587.46875,85594.8046875,41290.2109375,31986.59375,38205.87109375,60470.4921875,3765504.5,6735863.5,7440348.5,7804742,2798611.5,68898.53125,45572.19921875,82698.0859375,24665.310546875
"gluconic acid",4179988.10534668,47300029.1053467,12807679.1053467,17784885.1053467,40761445.1053467,25502743.1053467,17320355.1053467,29155505.1053467,28081487.1053467,17956201.1053467,15221023.1053467,38214225.1053467,12173513.1053467,10174217.1053467,13607037.1053467,11259255.1053467,14534968.1053467,8013769.10534668,8395815.10534668,15481250.1053467,17218239.1053467,7928529.60534668,98159185.1053467,14723361.1053467,47427089.1053467,10984294.1053467,42871085.1053467,28948611.1053467,22667375.1053467,14898407.1053467,8149908.60534668,6389121.10534668,6281500.10534668,16390114.1053467,14967194.1053467,30060221.1053467,13147075.1053467,33157085.1053467,15358358.1053467,73359977.1053467,61643893.1053467,137031585.105347,58065089.1053467,74841409.1053467,60090441.1053467,13609990.1053467,32898455.1053467,26331749.1053467,13693447.1053467,32868259.1053467,10900981.1053467,16852295.1053467,47953273.1053467,40385985.1053467,23823445.1053467,14459928.1053467,97466745.1053467,131202025.105347,206571201.105347,175968497.105347,121989329.105347,42919785.1053467,45067593.1053467,32226079.1053467,15037755.1053467
"glucosaminic acid",1229168.00299072,3003820.75299072,2963362.50299072,793083.565490723,2043877.75299072,5780331.25299072,968403.627990723,1308352.37799072,1006720.19049072,847707.877990723,637006.002990723,1322896.62799072,1164793.75299072,720399.627990723,1457417.62799072,1227036.62799072,1620475.87799072,2288987.50299072,1107382.62799072,2486281.75299072,1948213.00299072,1593478.75299072,5170667.75299072,873342.752990723,2362790.00299072,1339467.50299072,1930250.12799072,1802045.50299072,1261715.25299072,1753599.00299072,758910.940490723,935646.127990723,951684.565490723,12976445.7529907,9883723.75299072,21772844.7529907,6773440.25299072,10837714.7529907,13356238.7529907,7430808.75299072,8399942.75299072,14852132.7529907,9055678.75299072,9454660.75299072,7628074.75299072,6828570.75299072,16661537.7529907,9941783.75299072,7846947.25299072,16922104.7529907,6958491.25299072,7446903.25299072,34601180.7529907,12022364.7529907,11386417.7529907,6427140.75299072,14748901.7529907,16539301.7529907,28259030.7529907,26856126.7529907,17380582.7529907,11046481.7529907,14908306.7529907,9214209.75299072,4330479.75299072
"glucuronic acid",2004264.66311646,485318.506866455,639287.288116455,112907.342803955,305769.725616455,981934.288116455,9289.46975708008,17636.0010070801,8584.44827270508,10405.3916320801,7356.23245239258,23427.0049133301,414866.819366455,322377.881866455,381828.663116455,367649.694366455,449875.756866455,614036.100616455,404319.975616455,1034184.66311646,326385.038116455,997364.100616455,207101.803741455,7508.67874145508,35368.9873352051,493141.475616455,21400.6826477051,14929.4736633301,10265.8213195801,355236.631866455,318276.194366455,89616.7099914551,192742.069366455,272485.256866455,275213.381866455,207333.256866455,52976.6162414551,74730.3818664551,224458.725616455,1544526.03811646,583350.975616455,2381554.78811646,521547.538116455,1152566.78811646,564117.100616455,2954400.78811646,3671126.53811646,1728038.53811646,1930345.16311646,3293573.28811646,151443.444366455,70378.2803039551,134465.178741455,100502.092803955,132266.178741455,759308.163116455,555401.100616455,1733408.66311646,1404645.66311646,2174047.78811646,595979.788116455,2044679.03811646,5672944.28811646,667855.913116455,1061626.16311646
"glucuronolactone",4179988.10534668,47300029.1053467,12807679.1053467,17784885.1053467,40761445.1053467,25502743.1053467,17320355.1053467,29155505.1053467,28081487.1053467,17956201.1053467,15221023.1053467,38214225.1053467,12173513.1053467,10174217.1053467,13607037.1053467,11259255.1053467,14534968.1053467,8013769.10534668,8395815.10534668,15481250.1053467,17218239.1053467,7928529.60534668,98159185.1053467,14723361.1053467,47427089.1053467,10984294.1053467,42871085.1053467,28948611.1053467,22667375.1053467,14898407.1053467,8149908.60534668,6389121.10534668,6281500.10534668,16390114.1053467,14967194.1053467,30060221.1053467,13147075.1053467,33157085.1053467,15358358.1053467,73359977.1053467,61643893.1053467,137031585.105347,58065089.1053467,74841409.1053467,60090441.1053467,13609990.1053467,32898455.1053467,26331749.1053467,13693447.1053467,32868259.1053467,10900981.1053467,16852295.1053467,47953273.1053467,40385985.1053467,23823445.1053467,14459928.1053467,97466745.1053467,131202025.105347,206571201.105347,175968497.105347,121989329.105347,42919785.1053467,45067593.1053467,32226079.1053467,15037755.1053467
"glutamic acid",13426035.5375977,6750413.53759766,8531231.53759766,7228335.53759766,7280017.03759766,9343062.53759766,108087.209472656,76032.3110351562,64701.6938476562,88236.9750976562,68938.4594726562,74753.6079101562,35564.1665039062,40720.0688476562,32098.6704101562,25492.2133789062,40558.0336914062,16900179.5375977,5842707.03759766,9470396.53759766,10534634.5375977,14828966.5375977,2857554.28759766,116381.725097656,94468.5141601562,13981628.5375977,57466.1938476562,228040.537597656,110548.186035156,18482.9614257812,22228.5317382812,9658.01025390625,43697.9829101562,3366303.78759766,9652213.53759766,7681689.03759766,12790282.5375977,5369178.03759766,6831703.53759766,41339.5024414062,52007.5102539062,20584.3305664062,39811.4438476562,20547.9555664062,25565.7094726562,1249847.53759766,4351619.53759766,1803945.28759766,703086.037597656,2199670.53759766,1809172.91259766,7308058.03759766,6683460.03759766,11420433.5375977,4636724.03759766,4744089.03759766,71493.7250976562,32530.0024414062,10329.9799804688,17528.6000976562,24417.8559570312,1064103.03759766,87137.0454101562,504698.006347656,1028742.35009766
"glutamine",45036.2672729492,45834.5914916992,17759.2828979492,11024.0309448242,35014.8180541992,67927.1383666992,11196.9664916992,19758.0172729492,9996.05438232422,22802.3532104492,44775.9625854492,28518.0524291992,63663.6696166992,47000.2985229492,35375.9625854492,38552.3493041992,58624.3961791992,36416.0055541992,20653.7047729492,32191.1774291992,23801.0094604492,30585.0250854492,36875.9469604492,5163.08563232422,27268.0446166992,15033.2125854492,19876.1696166992,13179.6129760742,28765.4664916992,43055.6774291992,51208.2086791992,13961.8922729492,29724.0055541992,79385.9508666992,539494.685241699,273431.810241699,233774.903991699,111634.341491699,394613.466491699,832239.122741699,224505.325866699,212043.763366699,793915.122741699,86748.5758666992,769389.810241699,67215.2008666992,44785.4547729492,19727.0172729492,57591.6305541992,47310.1735229492,748312.622741699,724793.247741699,438398.466491699,136244.810241699,391798.028991699,379187.341491699,555409.747741699,734149.435241699,200715.966491699,228265.325866699,129093.872741699,47136.5133666992,83969.8571166992,33752.3532104492,52566.8493041992
"glutathione",72174.5903320312,76642.8481445312,173786.355957031,0,24350.3247070312,284902.871582031,26607.1137695312,77738.4497070312,56545.7543945312,23427.2387695312,23708.1372070312,83295.0668945312,235742.746582031,119919.840332031,57146.2622070312,67159.0747070312,67010.9028320312,49134.9106445312,1238.56103515625,65551.6606445312,620.85595703125,17551.4106445312,72966.4809570312,7586.69189453125,71667.3715820312,7631.74267578125,25808.3012695312,61425.8481445312,35434.1645507812,26732.7426757812,0,329114.840332031,29246.8520507812,1433415.09033203,918600.277832031,1510584.46533203,698737.590332031,726291.340332031,1181229.09033203,3888888.21533203,5286213.96533203,4825780.96533203,2411854.46533203,3955539.46533203,5051187.46533203,0,0,0,0,2993.41455078125,797665.215332031,371062.277832031,652520.152832031,503217.902832031,507362.715332031,450736.527832031,2090343.21533203,2730959.46533203,2304370.46533203,3071732.96533203,2209228.96533203,0,99688.3637695312,0,0
"glyceraldehyde and/or lactic acid",1236545.58648682,2460722.21148682,8560775.21148682,684419.898986816,1790424.08648682,6605982.71148682,295691.523986816,846311.898986816,970813.836486816,345264.086486816,331299.148986816,1090149.08648682,2185934.21148682,1592587.83648682,1787803.46148682,1955347.08648682,1760883.83648682,2820769.46148682,808261.773986816,2487710.46148682,1510162.96148682,1236864.58648682,1833578.58648682,280367.180236816,1007610.71148682,788960.648986816,737883.148986816,1023798.46148682,495860.680236816,1501639.58648682,527265.086486816,1100656.46148682,626218.961486816,5198975.71148682,4037573.21148682,13108134.2114868,1745309.83648682,3048917.21148682,2306480.21148682,27179963.2114868,24080917.2114868,29766351.2114868,33522479.2114868,25805893.2114868,33272839.2114868,1532020.58648682,4581351.21148682,2212780.96148682,1289909.21148682,3431854.21148682,5533097.21148682,2819031.96148682,5034513.71148682,5040486.21148682,4681457.21148682,2498113.71148682,18340131.2114868,31096607.2114868,25802411.2114868,38096887.2114868,14123421.2114868,2397948.21148682,3332192.46148682,2622905.46148682,1175421.58648682
"glyceric acid and or isomers",10838349.4941406,135798334.494141,36508702.4941406,16853594.4941406,51370994.4941406,66931006.4941406,6942875.49414062,15278001.4941406,21772834.4941406,5400139.49414062,7771736.49414062,16578270.4941406,11161900.4941406,9706851.49414062,10242182.4941406,11346356.4941406,13045214.4941406,22479116.4941406,13848769.4941406,32811118.4941406,51434402.4941406,12250417.4941406,35003130.4941406,3851930.99414062,17669544.4941406,13907537.4941406,13919546.4941406,22153668.4941406,6067703.99414062,7975284.49414062,1501887.99414062,3617747.49414062,3133901.49414062,93081406.4941406,32676866.4941406,99594326.4941406,39288638.4941406,128698398.494141,25958398.4941406,38881090.4941406,23565666.4941406,74614182.4941406,30464590.4941406,67383518.4941406,34561378.4941406,4486560.99414062,12666884.4941406,15246090.4941406,4348087.99414062,9703185.49414062,31351554.4941406,33779774.4941406,106555966.494141,87108134.4941406,94595998.4941406,36440806.4941406,27103364.4941406,45626010.4941406,54624002.4941406,63789250.4941406,36690650.4941406,5868650.99414062,13593758.4941406,4992295.49414062,713110.119140625
"glycerol phosphoric acid",1157847.82891846,5392681.07891846,2066746.57891846,5492644.07891846,6433256.57891846,3327132.32891846,1585859.07891846,1757426.07891846,1689047.57891846,1665784.07891846,1678826.32891846,1611750.20391846,1694742.82891846,1268134.57891846,1599857.20391846,1202424.45391846,2041642.45391846,2434056.82891846,1886587.45391846,2275485.32891846,4566774.07891846,2479254.57891846,5255402.07891846,1909395.70391846,2821281.07891846,2385917.07891846,2855626.07891846,2037951.82891846,2457069.07891846,2672948.32891846,1535866.20391846,1233754.07891846,1985054.95391846,1494642.20391846,1894571.95391846,3757972.82891846,714742.328918457,1432064.07891846,1627111.70391846,14654985.0789185,22204331.0789185,16158715.0789185,13464497.0789185,12219743.0789185,17517013.0789185,2085816.70391846,1627906.70391846,1883875.57891846,1656190.32891846,2811305.82891846,1996980.07891846,2383393.82891846,4025954.07891846,2947699.32891846,2253095.07891846,1497579.70391846,27386315.0789185,33857363.0789185,29439867.0789185,24587283.0789185,22353657.0789185,3924264.07891846,2313161.82891846,3337984.82891846,3270564.07891846
"glycine",163199.515869141,465684.156494141,413706.375244141,105057.672119141,317264.593994141,798288.781494141,94655.0158691406,124755.156494141,123244.640869141,79712.3283691406,107820.695556641,157437.718994141,372529.593994141,336753.406494141,493014.468994141,379870.437744141,406965.093994141,196856.000244141,91567.3752441406,276434.250244141,194549.547119141,203370.531494141,368590.562744141,85542.8283691406,106924.289306641,180854.515869141,124352.203369141,146805.593994141,76561.7893066406,374637.343994141,296610.125244141,147301.015869141,167950.312744141,1810961.84399414,1248723.34399414,1615676.21899414,1386396.84399414,2460768.71899414,1686373.09399414,2122646.46899414,1307858.21899414,1946526.71899414,1931687.09399414,2288302.71899414,2047934.71899414,135398.250244141,473663.531494141,329007.812744141,206174.687744141,400693.781494141,598996.156494141,416366.000244141,2152088.96899414,2308288.21899414,2321334.71899414,1210825.84399414,859061.531494141,1378196.09399414,1214718.34399414,2014157.71899414,625428.343994141,295710.625244141,544671.906494141,251837.781494141,117543.640869141
"guanine",0,744.300964355469,2240.99383544922,0,0,1983.47625732422,330401.271179199,715062.489929199,466778.614929199,592744.052429199,345249.989929199,1313146.1774292,69334.6149291992,42827.4860229492,56658.9235229492,70712.5211791992,58539.3493041992,0,0,9506.06024169922,0,0,3039216.3024292,276480.114929199,700232.052429199,43728.1305541992,871166.927429199,533275.177429199,303550.458679199,93848.0055541992,18846.9450073242,75795.6696166992,16178.9039916992,2822.22283935547,0,5890.90301513672,0,3908.95770263672,0,91944.8102416992,79712.9508666992,98274.1305541992,72851.2164916992,75349.6227416992,48141.3336791992,31735.8727416992,65583.3024291992,53170.8453979492,30439.9821166992,66978.5368041992,0,0,1145.81512451172,0,0,0,49289.2125854492,74578.2868041992,140048.864929199,186851.239929199,58508.5641479492,63622.9743041992,69663.7164916992,51149.3961791992,21910.4020385742
"guanosine",87799.4432678223,290056.708892822,258446.521392822,71329.3729553223,176651.865142822,490916.427642822,42075.0292053223,76041.5995178223,53470.9354553223,37197.2752990723,29373.9823303223,88494.4979553223,78439.5057678223,34597.4784240723,47452.5057678223,58818.9120178223,69564.9588928223,129278.818267822,61854.8417053223,212472.958892822,102141.185455322,109868.818267822,391493.958892822,42197.8260803223,126510.037017822,86649.0917053223,182113.474517822,95596.1620178223,69890.9354553223,53114.1932678223,14328.8963928223,42994.4042053223,22095.9139709473,271003.552642822,103197.287017822,294195.583892822,77419.0448303223,266935.677642822,110862.997955322,348649.990142822,264897.052642822,1039871.33389282,238658.990142822,413467.115142822,249641.974517822,35460.5799865723,107908.208892822,108395.560455322,27537.9745178223,145714.537017822,90978.0213928223,105648.013580322,293201.083892822,187728.287017822,256311.021392822,85031.7948303223,374595.396392822,378801.052642822,1007468.27139282,960829.771392822,513155.833892822,90103.9901428223,185600.099517822,78462.5917053223,24043.5038146973
"guanosine 3,5-cyclic monophosphoric acid",22390.0430908203,34331.8985595703,55060.9727783203,16260.4200439453,25944.5723876953,60584.6094970703,7354636.96887207,9004718.96887207,5541399.96887207,6246185.96887207,6130714.46887207,9038326.96887207,81751.8048095703,72592.6798095703,101762.83605957,99583.8751220703,103242.69543457,66099.0938720703,15221.0606689453,133480.50012207,27828.0372314453,25468.5059814453,12665629.9688721,6546091.96887207,8313815.96887207,1190355.46887207,7242732.96887207,7717335.46887207,5773540.46887207,84950.0704345703,42200.2501220703,54038.7930908203,57709.5665283203,124147.45324707,144490.31262207,120851.07043457,193974.09387207,223101.09387207,99153.3673095703,1003163.40637207,540235.09387207,1018859.78137207,402857.68762207,258236.76574707,556584.90637207,81746.6251220703,236416.31262207,118354.89074707,84788.9141845703,147011.28137207,48202.5899658203,77444.5626220703,173914.23449707,134247.89074707,113421.81262207,59351.5313720703,285429.12512207,385611.93762207,355496.65637207,562710.21887207,274952.25012207,110304.35168457,123298.83605957,82069.0079345703,62698.9805908203
"hexosamine",1996811.98046875,3281726.23046875,3699729.23046875,1340912.10546875,2688563.23046875,4332403.98046875,18210924.4804688,27438636.4804688,25820562.4804688,21258194.4804688,43052598.4804688,34178730.4804688,786004.35546875,617021.91796875,595299.04296875,506305.41796875,661863.79296875,2965244.48046875,1734372.35546875,3374280.23046875,2233870.23046875,2476899.23046875,25666312.4804688,11938644.4804688,11742929.4804688,4715113.98046875,14113273.4804688,25579400.4804688,14524197.4804688,618981.04296875,332652.01171875,332714.63671875,400150.76171875,2583733.98046875,1945628.60546875,3187789.23046875,1126316.73046875,1743079.48046875,1850210.10546875,61241338.4804688,57683370.4804688,91209882.4804688,37572406.4804688,90187810.4804688,68953154.4804688,1540191.23046875,2287453.98046875,2156392.98046875,1358341.60546875,2488090.23046875,1800743.35546875,1405413.10546875,2379671.73046875,3053723.23046875,2548608.23046875,1719783.35546875,9135619.48046875,12996522.4804688,14726979.4804688,41707626.4804688,9074730.48046875,2282924.98046875,2364869.48046875,4119945.98046875,1683913.60546875
"hexose phosphate",852728.376525879,1490888.25152588,1109356.00152588,326158.907775879,1078238.00152588,979589.501525879,84944.7359008789,119925.079650879,112179.431213379,61237.3843383789,71104.4390258789,95110.5171508789,511075.064025879,611900.189025879,414859.282775879,534882.564025879,454873.314025879,1627229.12652588,343116.251525879,794986.814025879,958922.751525879,507187.501525879,465149.595275879,61418.6109008789,164036.079650879,373564.282775879,101867.556213379,166419.360900879,84209.6187133789,577354.814025879,579925.251525879,358773.689025879,257227.876525879,2162260.00152588,686046.001525879,5489357.25152588,1510117.12652588,2224278.00152588,919941.501525879,600414.251525879,507048.157775879,1197534.00152588,321286.376525879,1150441.00152588,514066.814025879,326163.689025879,889150.189025879,916062.939025879,928150.939025879,1600158.75152588,1399214.37652588,1251359.50152588,2886323.75152588,2388879.25152588,3481993.25152588,2419184.75152588,832787.626525879,1203319.25152588,1531508.12652588,1057528.12652588,526500.626525879,649616.189025879,4702447.25152588,506923.376525879,275420.782775879
"histamine",146663.76940918,586873.69128418,396494.06628418,246153.78503418,422945.16003418,723008.37878418,26387.3670654297,93547.5350341797,49814.0233154297,26069.3006591797,54743.8553466797,69098.1209716797,139196.17565918,67337.6444091797,123807.64440918,167486.41003418,175493.26940918,171018.53503418,127365.03503418,284443.72253418,392777.78503418,255022.03503418,148761.55065918,23246.8514404297,97649.5272216797,98926.6756591797,88545.2459716797,51040.3397216797,47588.7342529297,122046.75378418,53491.5819091797,57961.6365966797,40015.5272216797,717786.44128418,527275.87878418,1009110.75378418,495729.19128418,771947.62878418,557339.81628418,4518773.31628418,2760452.81628418,4450446.81628418,2005426.56628418,3931074.06628418,2118552.31628418,179870.28503418,240060.25378418,264951.34753418,277411.37878418,460941.56628418,689148.37878418,570545.37878418,1049714.31628418,1044783.06628418,668786.69128418,511717.81628418,3398236.06628418,4805259.31628418,7688454.81628418,6383805.81628418,3559308.56628418,479569.69128418,295226.44128418,214659.51940918,173772.73815918
"histidine",2285709.61199951,13138851.1119995,20721290.1119995,473739.611999512,11114834.1119995,47735436.1119995,918734.111999512,3445355.61199951,4459985.11199951,586895.361999512,980043.799499512,5393698.61199951,5007741.11199951,3421325.11199951,4223884.61199951,4876099.61199951,6427475.61199951,6085410.61199951,1547499.98699951,19874226.1119995,2621547.86199951,4671271.11199951,29200450.1119995,961686.049499512,7066447.61199951,3877962.61199951,7737671.61199951,25010870.1119995,1857571.48699951,3211080.61199951,183548.815124512,4414089.61199951,600407.986999512,21081670.1119995,4062298.61199951,33822648.1119995,2873708.86199951,17405478.1119995,4657278.61199951,7209490.61199951,5934330.61199951,37468204.1119995,5671636.61199951,38598312.1119995,5929729.11199951,1453199.23699951,11591194.1119995,17590492.1119995,1327404.86199951,12751521.1119995,4222765.11199951,3557978.61199951,22102600.1119995,17567616.1119995,30523940.1119995,2745035.86199951,11398316.1119995,15801803.1119995,98218316.1119995,85236732.1119995,60553128.1119995,5269346.61199951,5337841.11199951,8376130.11199951,1048466.36199951
"histidinol",58628023.359375,7511779.359375,60621835.359375,850325.734375,2902887.859375,6729419.359375,221627167.359375,180653391.359375,232435183.359375,211387615.359375,459343135.359375,232459871.359375,273733663.359375,199275455.359375,296360607.359375,354762463.359375,323998431.359375,218545695.359375,45003519.359375,62211035.359375,6978366.859375,43949655.359375,223449663.359375,127877679.359375,46055419.359375,86569831.359375,121210399.359375,230596079.359375,68776783.359375,159773487.359375,191059551.359375,110351711.359375,220357247.359375,222566399.359375,100651783.359375,130858127.359375,14335779.359375,15953868.359375,229991087.359375,873365439.359375,492153215.359375,869579775.359375,787647743.359375,849797439.359375,880476735.359375,479169343.359375,413886975.359375,362812735.359375,450758015.359375,483284543.359375,68508639.359375,32905043.359375,45399395.359375,55347187.359375,142518207.359375,110688271.359375,266819343.359375,313928191.359375,236613487.359375,579891967.359375,204301151.359375,193336607.359375,128327343.359375,257212191.359375,199651055.359375
"homoserine",4731818.19036865,38939344.1903687,35869352.1903687,6385544.19036865,35177340.1903687,44290276.1903687,6026126.69036865,15926621.1903687,19782016.1903687,5737322.69036865,5532103.19036865,21412046.1903687,9313090.19036865,7709472.69036865,12186937.1903687,9006711.19036865,10575172.1903687,6332207.69036865,5293899.19036865,21104452.1903687,7018516.69036865,5684388.69036865,45256332.1903687,5614268.19036865,21768770.1903687,6049543.19036865,20948882.1903687,26983532.1903687,6333187.69036865,11496695.1903687,2946349.69036865,5450159.69036865,2584715.69036865,48166476.1903687,9342740.19036865,45936428.1903687,7350622.19036865,42260168.1903687,8239797.69036865,11200426.1903687,8711887.19036865,65454368.1903687,11684584.1903687,85573720.1903687,11066694.1903687,4112759.19036865,16956484.1903687,18230324.1903687,3918056.44036865,19198970.1903687,5351420.69036865,7724477.69036865,38778396.1903687,46423224.1903687,29769400.1903687,6515587.19036865,11819286.1903687,14008149.1903687,97192192.1903687,107464920.190369,67356720.1903687,19173692.1903687,13928490.1903687,19722106.1903687,4206442.69036865
